experiment_id,experiment_type,provider,model,prompt,expected,response,parsed,correct,failure_type,latency_s,timestamp
sym_018,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 50 zorp 19
Return only the numeric answer.",69,69,69,True,,1.859,2026-04-20T03:33:51Z
sym_019,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 60 grint 4
Return only the numeric answer.",15.0,15,15,True,,1.321,2026-04-20T03:33:53Z
sym_020,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 41 blix 24
Return only the numeric answer.",17,41 - 24 = **17**,17,True,,1.234,2026-04-20T03:33:54Z
sym_021,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 24 blix 23
Return only the numeric answer.",1,1,1,True,,1.332,2026-04-20T03:33:55Z
sym_022,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 43 zorp 18
Return only the numeric answer.",61,61,61,True,,0.920,2026-04-20T03:33:56Z
sym_023,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 39 blix 41
Return only the numeric answer.",-2,39 - 41 = **-2**,-2,True,,1.334,2026-04-20T03:33:58Z
sym_024,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 35 blix 47
Return only the numeric answer.",-12,35 - 47 = **-12**,-12,True,,1.125,2026-04-20T03:33:59Z
sym_025,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 72 grint 4
Return only the numeric answer.",18.0,18,18,True,,2.661,2026-04-20T03:34:01Z
sym_026,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 15 plonk 44
Return only the numeric answer.",660,"15 × 44 = 660

**660**",660,True,,1.213,2026-04-20T03:34:03Z
sym_027,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 50 zorp 50
Return only the numeric answer.",100,100,100,True,,0.835,2026-04-20T03:34:03Z
sym_028,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 15 plonk 3
Return only the numeric answer.",45,45,45,True,,1.537,2026-04-20T03:34:05Z
sym_029,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 26 zorp 18
Return only the numeric answer.",44,44,44,True,,0.820,2026-04-20T03:34:06Z
sym_030,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 14 plonk 37
Return only the numeric answer.",518,14 × 37 = **518**,518,True,,0.818,2026-04-20T03:34:07Z
sym_031,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 75 grint 5
Return only the numeric answer.",15.0,15,15,True,,1.229,2026-04-20T03:34:08Z
sym_032,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 10 blix 17
Return only the numeric answer.",-7,10 - 17 = **-7**,-7,True,,1.436,2026-04-20T03:34:09Z
sym_033,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 16 plonk 48
Return only the numeric answer.",768,16 plonk 48 = 16 × 48 = **768**,768,True,,1.293,2026-04-20T03:34:11Z
sym_034,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 60 grint 5
Return only the numeric answer.",12.0,12,12,True,,1.264,2026-04-20T03:34:12Z
sym_035,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 2 grint 1
Return only the numeric answer.",2.0,2,2,True,,2.376,2026-04-20T03:34:14Z
sym_036,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 8 blix 10
Return only the numeric answer.",-2,8 - 10 = **-2**,-2,True,,1.002,2026-04-20T03:34:15Z
sym_037,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 44 zorp 28
Return only the numeric answer.",72,72,72,True,,0.923,2026-04-20T03:34:16Z
sym_038,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 72 grint 4
Return only the numeric answer.",18.0,18,18,True,,1.113,2026-04-20T03:34:17Z
sym_039,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 1 zorp 44
Return only the numeric answer.",45,45,45,True,,0.690,2026-04-20T03:34:18Z
sym_040,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 44 plonk 35
Return only the numeric answer.",1540,44 × 35 = **1540**,1540,True,,0.961,2026-04-20T03:34:19Z
sym_041,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 50 plonk 42
Return only the numeric answer.",2100,50 × 42 = **2100**,2100,True,,1.125,2026-04-20T03:34:20Z
sym_042,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 30 grint 2
Return only the numeric answer.",15.0,15,15,True,,2.559,2026-04-20T03:34:23Z
sym_043,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 1 plonk 47
Return only the numeric answer.",47,47,47,True,,1.229,2026-04-20T03:34:24Z
sym_044,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 33 blix 49
Return only the numeric answer.",-16,33 - 49 = **-16**,-16,True,,1.259,2026-04-20T03:34:25Z
sym_045,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 33 plonk 7
Return only the numeric answer.",231,33 × 7 = **231**,231,True,,0.891,2026-04-20T03:34:26Z
sym_046,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 41 blix 33
Return only the numeric answer.",8,41 - 33 = **8**,8,True,,0.822,2026-04-20T03:34:27Z
sym_047,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 10 blix 24
Return only the numeric answer.",-14,10 - 24 = **-14**,-14,True,,1.022,2026-04-20T03:34:28Z
sym_048,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 35 zorp 50
Return only the numeric answer.",85,85,85,True,,1.260,2026-04-20T03:34:29Z
sym_049,symbol_substitution,anthropic,claude-sonnet-4-6,"Definitions: 'zorp'=addition, 'blix'=subtraction, 'plonk'=multiplication, 'grint'=integer division.
Compute: 4 grint 1
Return only the numeric answer.",4.0,4,4,True,,2.425,2026-04-20T03:34:31Z
rule_000,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 356: YES
- 31: YES
- 612: NO
- 577: NO

Is 3780 a frog-number? Answer only YES or NO.",YES,"I need to find the hidden rule by analyzing the examples.

356: YES
31: YES
612: NO
577: NO

Let me look for patterns.

356: digits 3, 5, 6
31: digits 3, 1
612: digits 6, 1, 2
577: digits 5, 7, 7

Let me think about divisibility or digit properties.

356: 3+5+6=14, 3×5×6=90
31: 3+1=4, 3×1=3
612: 6+1+2=9, 6×1×2=12
577: 5+7+7=19, 5×7×7=245

Divisibility by 3: 356→14 no, 31→4 no... that doesn't work simply.

Let me think about ""frog"" - maybe leaping/jumping digits, or alternating patterns.

356: 3,5,6 - differences: +2, +1
31: 3,1 - difference: -2
612: 6,1,2 - differences: -5, +1
577: 5,7,7 - differences: +2, 0

Maybe consecutive digits differ by at most 2? 
356: |3-5|=2, |5-6|=1 ✓
31: |3-1|=2 ✓
612: |6-1|=5 ✗ → NO ✓
577: |5-7|=2, |7-7|=0 ✓ → should be YES, but it's NO ✗

Let me try another approach. Maybe digits must all be odd",YES,True,,7.173,2026-04-20T03:34:39Z
rule_001,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 612: NO
- 235: YES
- 17: YES
- 82: YES

Is 974 a frog-number? Answer only YES or NO.",YES,"I need to find the hidden rule by analyzing the examples.

Let me look at the digits of each number:

- 612: NO
- 235: YES
- 17: YES
- 82: YES

Let me think about what makes 235, 17, and 82 special but not 612.

Let me check if any digit is a multiple of another digit, or some relationship between digits.

**235:** digits 2, 3, 5 - all prime? 2✓, 3✓, 5✓
**17:** digits 1, 7 - 1 is not prime...
**82:** digits 8, 2 - 8 is not prime...

Let me try another approach - consecutive digits differ by some amount.

**235:** 2→3 (diff 1), 3→5 (diff 2)
**17:** 1→7 (diff 6)
**82:** 8→2 (diff -6)
**612:** 6→1 (diff -5), 1→2 (diff 1)

Hmm, let me try: each next digit is larger than the previous (ascending)?
- 235: 2<3<5 ✓
- 17: 1<7 ✓
- 82: 8>2 ✗ — No, this doesn't work.

Let me try: contains an odd digit?
- 612: 1 is odd... NO — doesn't work.

Let me try: the digits sum to a prime?
- 235: 2+3+5=10, not prime ✗

Let me try: one digit divides another?
- 235: 2 doesn't divide",NO,False,wrong_answer,6.850,2026-04-20T03:34:46Z
rule_002,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 244: YES
- 79: YES
- 937: NO
- 42: YES

Is 5423 a frog-number? Answer only YES or NO.",YES,"I need to find the hidden rule by analyzing the examples.

- 244: YES
- 79: YES
- 937: NO
- 42: YES

Let me look at various properties:

**Sum of digits:**
- 244: 2+4+4 = 10
- 79: 7+9 = 16
- 937: 9+3+7 = 19
- 42: 4+2 = 6

No obvious pattern there.

**Contains an even digit:**
- 244: has 2,4,4 (even) → YES
- 79: has no even digits... wait, 79 has 7 and 9, both odd → YES (doesn't fit)

**Product of digits:**
- 244: 2×4×4 = 32
- 79: 7×9 = 63
- 937: 9×3×7 = 189
- 42: 4×2 = 8

Hmm, 32, 63, 8 are YES; 189 is NO. Not obvious.

**Divisibility:**
- 244 ÷ 4 = 61 ✓
- 79: prime
- 937: prime
- 42 ÷ 2 = 21, ÷ 6 = 7 ✓

Let me think about ""frog"" - frogs jump, maybe alternating pattern?

**Alternating digits (up-down or down-up):**
- 244: 2<4>4? 2<4 then 4=4, not strictly alternating
- 79: 7>9? No, 7",YES,True,,6.150,2026-04-20T03:34:52Z
rule_003,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 82: YES
- 536: YES
- 253: YES
- 295: YES

Is 7963 a frog-number? Answer only YES or NO.",NO,"I need to find the hidden rule by analyzing the examples.

Let me look at the digits:
- 82: 8, 2
- 536: 5, 3, 6
- 253: 2, 5, 3
- 295: 2, 9, 5

Let me think about what these have in common.

Maybe it's about even/odd patterns or digit relationships.

Let me check if digits alternate even/odd:
- 82: 8(even), 2(even) — No
- 536: 5(odd), 3(odd), 6(even) — No

Let me check differences between consecutive digits:
- 82: |8-2| = 6
- 536: |5-3|=2, |3-6|=3
- 253: |2-5|=3, |5-3|=2
- 295: |2-9|=7, |9-5|=4

Hmm, let me think about ""frog jumping"" — maybe digits jump over each other or skip.

Let me check if each digit is between its neighbors, or if digits are non-consecutive (no two adjacent digits differ by 1):
- 82: |8-2|=6 ✓ (not 1)
- 536: |5-3|=2 ✓, |3-6|=3 ✓
- 253: |2-5|=3 ✓, |5-3|=2 ✓
- 295: |2-9|=7 ✓, |9-5|=4 ✓

Now check 7963:
- |7-9|=2",NO,True,,6.779,2026-04-20T03:34:58Z
rule_004,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 229: NO
- 562: NO
- 145: YES
- 750: YES

Is 9365 a frog-number? Answer only YES or NO.",NO,"I need to find the hidden rule by analyzing the examples.

Let me look at the digits:
- 229: NO
- 562: NO
- 145: YES
- 750: YES

Let me try various rules:

**Sum of digits:**
- 229: 2+2+9 = 13
- 562: 5+6+2 = 13
- 145: 1+4+5 = 10
- 750: 7+5+0 = 12

No clear pattern there.

**Product of digits:**
- 229: 2×2×9 = 36
- 562: 5×6×2 = 60
- 145: 1×4×5 = 20
- 750: 7×5×0 = 0

Hmm, not obvious.

**Contains a perfect square digit?**
Digits that are perfect squares: 0, 1, 4, 9
- 229: has 9 → YES but answer is NO
- That doesn't work.

**Digits include a perfect square (non-trivial)?**

Let me think about ""frog"" - frogs jump. Maybe the digits increase then decrease or follow a pattern?

**Digits in ascending order somewhere?**
- 145: 1<4<5 YES ✓
- 750: 7>5>0 descending... 

**One digit is the sum of the other two?**
- 229: 2+2=4≠9, 2+9=11≠2 → NO ✓
- 562: 5+6=11≠2, 5+2=7≠6, 6+",NO,True,,7.244,2026-04-20T03:35:06Z
rule_005,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 600: YES
- 494: NO
- 258: NO
- 813: YES

Is 7759 a frog-number? Answer only YES or NO.",YES,"I need to find the hidden rule by analyzing the examples.

600: YES
494: NO
258: NO
813: YES

Let me look for patterns.

600: digits 6, 0, 0
813: digits 8, 1, 3

494: digits 4, 9, 4
258: digits 2, 5, 8

Let me try sum of digits:
600: 6+0+0 = 6
813: 8+1+3 = 12
494: 4+9+4 = 17
258: 2+5+8 = 15

Not obvious. Let me try product:
600: 6×0×0 = 0
813: 8×1×3 = 24
494: 4×9×4 = 144
258: 2×5×8 = 80

Hmm. Let me think about ""frog"" - frogs jump, maybe alternating up/down pattern?

600: 6→0 (down), 0→0 (same) - not strictly alternating
813: 8→1 (down), 1→3 (up) - down then up: YES
494: 4→9 (up), 9→4 (down) - up then down: NO
258: 2→5 (up), 5→8 (up) - both up: NO

So the pattern might be: digits go DOWN then UP (valley pattern)?

600: 6→0 (down), 0→0 (not up, same)... but it's YES. Hmm.

Wait, maybe equal counts as down or the rule is different. Let me reconsider.

Maybe: the",YES,True,,6.555,2026-04-20T03:35:12Z
rule_006,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 836: NO
- 426: YES
- 204: YES
- 106: NO

Is 1598 a frog-number? Answer only YES or NO.",NO,"I need to find the hidden rule by analyzing the examples.

Let me look at the numbers:
- 836: NO
- 426: YES
- 204: YES
- 106: NO

Let me try various properties.

**Sum of digits:**
- 836: 8+3+6 = 17 NO
- 426: 4+2+6 = 12 YES
- 204: 2+0+4 = 6 YES
- 106: 1+0+6 = 7 NO

YES numbers have digit sums 12 and 6 (divisible by 6? or by 3?)
NO numbers have digit sums 17 and 7 (not divisible by 3)

Wait, divisible by 3: 12 yes, 6 yes, 17 no, 7 no. That works!

But let me check divisible by 6 (divisible by both 2 and 3):
- 426: even, sum=12 ✓ YES
- 204: even, sum=6 ✓ YES
- 836: even, sum=17, not div by 3 ✗ NO
- 106: even, sum=7, not div by 3 ✗ NO

So the rule might be: divisible by 6 (or just divisible by 3, since all examples are even).

Let me check 1598:
- 1+5+9+8 = 23, not divisible by 3
- So not divisible by 3, not divisible by 6

**NO**",NO,True,,6.961,2026-04-20T03:35:19Z
rule_007,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 684: YES
- 451: YES
- 372: YES
- 443: NO

Is 6745 a frog-number? Answer only YES or NO.",YES,"I need to find the hidden rule by analyzing the examples.

Let me look at the digits:
- 684: YES
- 451: YES
- 372: YES
- 443: NO

Let me check various properties:

**Sum of digits:**
- 684: 6+8+4 = 18
- 451: 4+5+1 = 10
- 372: 3+7+2 = 12
- 443: 4+4+3 = 11

No obvious pattern there.

**Alternating digits / differences:**
- 684: 8-6=2, 8-4=4... 
- Let me check if each digit is between the other two, or if they alternate up-down.

**Up-down pattern (each middle digit larger than neighbors):**
- 684: 8 > 6 and 8 > 4 ✓ (middle digit is largest)
- 451: 5 > 4 and 5 > 1 ✓
- 372: 7 > 3 and 7 > 2 ✓
- 443: 4 > 4? NO ✗

This works! The rule seems to be that the middle digit is strictly greater than both its neighbors.

Now for **6745** (4 digits), I need to extend this. For a 4-digit number, maybe the pattern alternates: digits go up-down-up or down-up-down (like a ""frog"" jumping).

For 4 digits, check if it alternates (each digit alternately higher/lower):
- 6745: 6>7? No. So not strictly alternating down-up-down",YES,True,,7.578,2026-04-20T03:35:27Z
rule_008,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 488: YES
- 894: NO
- 756: YES
- 65: NO

Is 1622 a frog-number? Answer only YES or NO.",NO,"I need to find the hidden rule by analyzing the examples.

Let me look at the digits:
- 488: YES
- 894: NO
- 756: YES
- 65: NO

Let me think about what makes 488 and 756 ""frog numbers"" but not 894 and 65.

Let me try products of digits:
- 488: 4×8×8 = 256
- 894: 8×9×4 = 288
- 756: 7×5×6 = 210
- 65: 6×5 = 30

Let me try sums:
- 488: 4+8+8 = 20
- 894: 8+9+4 = 21
- 756: 7+5+6 = 18
- 65: 6+5 = 11

Let me think about ""frog"" - frogs jump. Maybe alternating up-down or down-up pattern?

- 488: 4→8 (up), 8→8 (same) - not strictly alternating
- 756: 7→5 (down), 5→6 (up) - down then up (valley)
- 894: 8→9 (up), 9→4 (down) - up then down (peak)
- 65: 6→5 (down) - just down

So YES numbers have a ""valley"" shape (goes down then up), NO numbers don't?
- 488: 4→8→8... not a valley. Hmm.

Let me try: contains a repeated digit?
- 488: has two 8s - YES
- 894: no repeats - NO",YES,False,wrong_answer,6.757,2026-04-20T03:35:34Z
rule_009,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 72: NO
- 422: YES
- 755: NO
- 357: NO

Is 1800 a frog-number? Answer only YES or NO.",NO,"I need to find the hidden rule by analyzing the examples.

Let me look at the digits:
- 72: NO
- 422: YES
- 755: NO
- 357: NO

Let me think about what makes 422 special.

Looking at digit sums:
- 72: 7+2 = 9
- 422: 4+2+2 = 8
- 755: 7+5+5 = 17
- 357: 3+5+7 = 15

Let me think about products:
- 72: 7×2 = 14
- 422: 4×2×2 = 16
- 755: 7×5×5 = 175
- 357: 3×5×7 = 105

Let me think about whether digits contain a perfect square or specific numbers.

Digits of 422: 4, 2, 2 — contains 4 (a perfect square)
Digits of 72: 7, 2 — no perfect square digit (1,4,9)
Digits of 755: 7, 5, 5 — no perfect square digit (other than 1)
Digits of 357: 3, 5, 7 — no perfect square digit

Wait, but 1 is also a perfect square. Let me check if the rule is ""contains digit 4 or 9"":
- 72: no 4 or 9 → NO ✓
- 422: has 4 → YES ✓
- 755: no 4 or 9 → NO ✓
- 357: no 4 or 9 → NO ✓

Now",NO,True,,6.248,2026-04-20T03:35:40Z
rule_010,rule_generalization,anthropic,claude-sonnet-4-6,"A number is a 'frog-number' based on a hidden rule. Examples:
- 264: YES
- 206: YES
- 204: YES
- 559: NO

Is 7360 a frog-number? Answer only YES or NO.",YES,"I need to find the hidden rule by analyzing the examples.

Let me look at the numbers:
- 264: YES
- 206: YES
- 204: YES
- 559: NO

Let me think about what properties these share.

264: digits 2, 6, 4
206: digits 2, 0, 6
204: digits 2, 0, 4
559: digits 5, 5, 9

Let me try divisibility rules or digit properties.

264: even digits are 2, 6, 4 - all even digits → YES
206: digits 2, 0, 6 - all even → YES
204: digits 2, 0, 4 - all even → YES
559: digits 5, 5, 9 - all odd → NO

So the rule might be: all digits are even.

Now check 7360: digits 7, 3, 6, 0
- 7 is odd → fails

But wait, let me reconsider. Maybe the rule involves containing a ""leap"" or ""frog"" pattern.

Let me try another angle - maybe it's about the number being divisible by something.
- 264 ÷ 4 = 66 ✓
- 206 ÷ 2 = 103 ✓
- 204 ÷ 4 = 51 ✓
- 559 ÷ ? 559 is odd, not divisible by 2 or 4

Maybe divisible by 2? 559 is odd. But that's too simple.

Let me try: all even digits.
- 264: 2,6,4 all even",YES,True,,7.579,2026-04-20T03:35:47Z
